iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G037.752-00.210,G037.763-00.212,37.763,-0.211,132.9,65.8,9.0206,0.430496,H2CO/Kin,Sewilo et al. (2004),42.3166,2.53296953951665,0.0047771478010926,2.53296953951665,0.0047771478010926,4.23,0.57,1.798,2.212359828376118,33.29,48.64,O6.5
G037.816-00.377,G037.816-00.379,37.816,-0.379,42.5,63.9,9.24947,0.301444,HIEA/Kin,Anderson et al. (2012),1.89084,0.1717685355759218,0.0008231561151733,0.1717685355759218,0.0008231561151733,4.23,0.62,0.681,0.837940513417206,37.13,47.47,O9.5
G037.821+00.413,G037.820+00.414,37.82,0.414,52.9,22.3,11.6162,0.248014,HIEA/Kin,Anderson et al. (2012),1.21251,0.0703055280491873,0.0001500871130446,0.0703055280491873,0.0001500871130446,11.54,0.27,0.523,1.7556308632099484,21.37,47.95,O9
G037.852-00.514,G037.838-00.510,37.838,-0.509,203.8,62.8,,,HIEA/Kin,Anderson et al. (2017),3.29646,0.4323878243456842,0.0100225852056931,0.4318643521206632,0.010022600548907,4.19,0.67,4.163,5.073949530943205,3.92,47.86,O9
G037.867-00.603,G037.868-00.601,37.868,-0.601,83.1,47.7,10.1778,0.250854,HIEA/Kin,Anderson et al. (2012),6.59813,0.3012569610691806,0.0001018366026703,0.3012569610691806,0.0001018366026703,4.14,3.8,0.621,0.7478554286960949,57.06,47.7,O9.5
G037.874-00.399,G037.872-00.399,37.872,-0.398,60.0,59.2,9.45719,0.339728,H2CO/Kin,Sewilo et al. (2004),29.4478,2.6040810298275314,0.0019510178454081,2.6040810298275314,0.0019510178454081,8.93,0.39,1.297,3.369125154534216,37.9,49.3,O5.5
G037.882-00.252,G037.872-00.257,37.873,-0.257,459.7,60.5,,,,,201.863,16.44119261987083,0.082862181356331,16.315411890460126,0.0828904052184247,8.98,0.4,12.396,32.38050469056796,3.21,50.1,O4
G038.045-00.041,G038.045-00.034,38.045,-0.034,127.1,58.3,9.493,0.391527,HIEA+HISA/Kin,Anderson & Bania (2009a),12.6726,0.2868922730858468,0.0051579081796548,0.2868922730858468,0.0051579081796548,9.1,0.47,1.626,4.304152425278161,8.88,48.36,O7.5
G038.122-00.225,G038.121-00.226,38.121,-0.226,42.5,83.8,6.42186,0.0234755,TP/Kin,,4.36378,0.0278732587607978,7.830700829923379e-05,0.0278732587607978,7.830700829923379e-05,4.56,0.5,0.389,0.5159886553705185,33.28,46.75,B0
G038.355-00.135,G038.353-00.135,38.353,-0.134,77.3,70.5,,,,,4.92991,0.0565123025650057,0.0016361861355588,0.0565123025650057,0.0016361861355588,4.28,0.51,1.191,1.4827954330594142,9.17,47.0,B0
